authors,slug,title,url
O. H. Swezey and F. X. Williams,dragonflies-of-guam,Dragonflies of Guam,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p3-6.pdf
Dudley Moulton,thrips-of-guam,Thrips of Guam,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p7-16.pdf
Dr. V. Lallemand,cercopidae-of-guam,Cercopidae of Guam,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p17-18.pdf
O. H. Swezey,membracidae-of-guam,Membracidae of Guam,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p19.pdf
John S. Caldwell,psyllidae-from-guam,Psyllidae from Guam,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p20-22.pdf
O. H. Swezey,aphidae-and-aleurodidae-of-guam,Aphidae and Aleurodidae of Guam,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p23-24.pdf
Nathan Banks,neuropteroid-insects-from-guam,Neuropteroid insects from Guam,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p25-30.pdf
O. H. Swezey,butterflies-of-guam,Butterflies of Guam,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p30-38.pdf
O. H. Swezey,sphingidae-of-guam,Sphingidae of Guam,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p39-40.pdf
Max Bernhauer,staphylinidae-of-guam,Staphylinidae of Guam,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p41-44.pdf
Elwood C. Zimmerman,rhipiceridae-of-guam,Rhipiceridae of Guam,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p45-46.pdf
Elwood C. Zimmerman,ciidae-of-guam,Ciidae of Guam,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p47-52.pdf
R. H. Van Zwaluwenburg,elaterid-and-eucnemid-beetles-of-guam,Elaterid and eucnemid beetles of Guam,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p53-55.pdf
K. G. Blair,coleoptera-heteromera-from-guam,Coleoptera Heteromera from Guam,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p56-60.pdf
J. Linsley Gressitt,new-longicorn-beetles-from-guam-cerambycidae,New longicorn beetles from Guam (Cerambycidae),http://hbs.bishopmuseum.org/pubs-online/pdf/b172p61-64.pdf
Elwood C. Zimmerman,anthribidae-of-guam,Anthribidae of Guam,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p65-72.pdf
Elwood C. Zimmerman,curculionidae-of-guam,Curculionidae of Guam,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p73-146.pdf
Karl E. Schedl,barkbeetles-of-guam,Barkbeetles of Guam,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p147-149.pdf
O. H. Swezey,miscellaneous-families-of-guam-coleoptera,Miscellaneous families of Guam Coleoptera,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p150-171.pdf
O. H. Swezey,stylopidae-of-guam,Stylopidae of Guam,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p173.pdf
O. H. Swezey,formicidae-of-guam,Formicidae of Guam,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p175-183.pdf
O. H. Swezey,wasps-of-guam,Wasps of Guam,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p184-187.pdf
T. D. A. Cockerell,bees-of-guam,Bees of Guam,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p188-190.pdf
T. D. A. Cockerell,halictine-bees-from-rota-island,Halictine bees from Rota Island,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p191-194.pdf
Charles P. Alexander,tipulidae-of-guam,Tipulidae of Guam,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p195-198.pdf
O. H. Swezey,culicidae-of-guam,Culicidae of Guam,http://hbs.bishopmuseum.org/pubs-online/pdf/b172p199-200.pdf
J. R. Malloch,trypetidae-otitidae-helomyzidae-and-clusiidae-of-guam-diptera,"Trypetidae, Otitidae, Helomyzidae, and Clusiidae of Guam (Diptera)",http://hbs.bishopmuseum.org/pubs-online/pdf/b172p201-210.pdf
